@relation cardss_buy_balanced

@attribute gender {female,male}
@attribute age {20-23,24-26,27-30,31-40,41-50,51-60,'60+'}
@attribute children {0,1,2,3,'3+'}
@attribute education {bachelor,below_m3,m3,m6,master,phd,vocational}
@attribute occupation {business_owner,freelance,government,private,soe,student,trader}
@attribute family_size {1-2,3-4,'5+'}
@attribute housing_type {condo,house,townhome}
@attribute housing_status {family,own,rent}
@attribute parking {common,none,private}
@attribute income {15001-25000,25001-35000,35001-50000,50001-75000,'75000+',lt15000}
@attribute budget {1200001-1500000,'1500000+',500001-800000,800001-1200000,lt500000}
@attribute concern {battery_life,charging_station,electricity_cost,fuel_price,maintenance,resale_value,service_center}
@attribute purpose {avoid_public,commute,convenience,trade,travel}
@attribute purpose_housing {'avoid_public|family','avoid_public|own','avoid_public|rent','commute|family','commute|own','commute|rent','convenience|family','convenience|own','convenience|rent','trade|family','trade|own','trade|rent','travel|family','travel|own','travel|rent'}
@attribute charging_access {cannot,has,installable,unsure}
@attribute tco_awareness {much_cheaper,similar,slightly_cheaper,unknown}
@attribute incentive_awareness {aware_considered,aware_only,unknown}
@attribute income_budget_gap numeric
@attribute financial_readiness_gap numeric
@attribute intention numeric
@attribute attitude numeric
@attribute subjective_norm numeric
@attribute pbc_financial numeric
@attribute evt_job numeric
@attribute evt_move numeric
@attribute evt_child numeric
@attribute evt_income numeric
@attribute class {buy,not_buy}

@data
male,31-40,1,bachelor,trader,3-4,townhome,rent,common,'75000+','1500000+',battery_life,trade,'trade|rent',installable,much_cheaper,unknown,0,1,5,3,5,1,1,0,0,0,not_buy
female,'60+',2,vocational,business_owner,3-4,townhome,rent,private,'75000+',500001-800000,fuel_price,convenience,'convenience|rent',unsure,similar,aware_only,-0.75,-0.75,5,4,4,4,1,0,0,0,not_buy
female,51-60,2,bachelor,private,3-4,condo,family,none,15001-25000,800001-1200000,service_center,convenience,'convenience|family',unsure,similar,unknown,0.3,0.3,3,4,3,4,1,0,0,0,buy
female,27-30,2,master,freelance,3-4,townhome,rent,private,lt15000,'1500000+',service_center,convenience,'convenience|rent',unsure,unknown,aware_only,1,1,5,4,4,4,1,0,0,0,not_buy
female,51-60,2,m6,freelance,'5+',townhome,own,private,'75000+',500001-800000,charging_station,travel,'travel|own',installable,unknown,unknown,-0.75,-1.08333,4,3,3,5,0,0,0,1,not_buy
male,51-60,2,bachelor,business_owner,3-4,townhome,own,common,35001-50000,800001-1200000,fuel_price,convenience,'convenience|own',installable,similar,unknown,-0.1,-0.1,6,6,6,4,1,0,0,0,not_buy
female,'60+',2,bachelor,business_owner,3-4,townhome,own,common,35001-50000,'1500000+',battery_life,convenience,'convenience|own',unsure,slightly_cheaper,aware_considered,0.4,-0.266667,4,5,5,6,1,0,0,0,not_buy
female,27-30,3,master,trader,'5+',townhome,own,common,25001-35000,1200001-1500000,electricity_cost,commute,'commute|own',unsure,similar,unknown,0.35,-0.316667,4,4,4,6,1,0,0,0,not_buy
female,31-40,0,master,government,3-4,townhome,rent,private,50001-75000,800001-1200000,fuel_price,commute,'commute|rent',unsure,unknown,aware_considered,-0.3,-1.3,5,4,4,7,1,1,0,0,not_buy
male,41-50,2,vocational,government,3-4,townhome,rent,common,25001-35000,lt500000,service_center,convenience,'convenience|rent',installable,unknown,unknown,-0.4,-0.4,6,5,4,4,1,0,0,0,not_buy
female,'60+',2,bachelor,business_owner,'5+',townhome,rent,common,35001-50000,800001-1200000,service_center,trade,'trade|rent',installable,similar,unknown,-0.1,0.233333,3,5,5,3,0,0,0,0,not_buy
female,51-60,2,m6,trader,3-4,condo,own,common,35001-50000,500001-800000,charging_station,commute,'commute|own',installable,much_cheaper,unknown,-0.35,-0.0166667,5,4,6,3,0,1,1,1,not_buy
male,31-40,2,master,freelance,1-2,condo,own,none,lt15000,1200001-1500000,service_center,commute,'commute|own',installable,unknown,unknown,0.75,0.416667,4,4,5,5,0,1,1,0,not_buy
