@relation cardss_fuel_balanced

@attribute usage_type {both,city,highway}
@attribute frequency {1-2days,3-4days,5-6days,everyday,occasional}
@attribute distance {10-30,31-50,51-70,71-90,'90+',lt10}
@attribute prev_car {ev,hybrid,ice}
@attribute charging_access {cannot,has,installable,unsure}
@attribute ev_exposure {both,ev_only,hybrid_only,none}
@attribute tco_awareness {much_cheaper,similar,slightly_cheaper,unknown}
@attribute incentive_awareness {aware_considered,aware_only,unknown}
@attribute tech_env_concern numeric
@attribute resale_maintenance_concern numeric
@attribute priority_count numeric
@attribute mileage_intensity numeric
@attribute tech_cost_balance numeric
@attribute range_anxiety numeric
@attribute nep_score numeric
@attribute ev_readiness_index numeric
@attribute prio_price numeric
@attribute prio_installment numeric
@attribute prio_fuel_cost numeric
@attribute prio_electricity_cost numeric
@attribute prio_maintenance_cost numeric
@attribute prio_performance numeric
@attribute prio_design numeric
@attribute prio_technology numeric
@attribute prio_value numeric
@attribute prio_warranty numeric
@attribute class {EV,Hybrid,ICE}

@data
city,1-2days,31-50,hybrid,installable,hybrid_only,much_cheaper,unknown,3,4,1,0.1,-1,6,3.8,1.90286,1,0,0,0,0,0,0,0,0,0,EV
city,5-6days,'90+',ice,unsure,both,unknown,aware_only,5,4,1,0.75,1,6,3.8,0.902857,0,1,0,0,0,0,0,0,0,0,Hybrid
both,everyday,lt10,ice,installable,hybrid_only,similar,unknown,4,5,1,0,-1,5,3.8,1.04571,0,0,1,0,0,0,0,0,0,0,EV
both,everyday,51-70,ice,unsure,both,slightly_cheaper,aware_considered,3,4,1,0.6,-1,5,4.2,1.62571,0,0,1,0,0,0,0,0,0,0,EV
both,1-2days,31-50,ice,unsure,none,similar,unknown,3,5,2,0.1,1,5,3.8,0.0457143,0,0,0,1,0,0,1,0,0,0,EV
both,5-6days,10-30,ice,installable,none,unknown,unknown,5,5,2,0.15,0,4,4,0.728571,0,0,1,1,0,0,0,0,0,0,Hybrid
highway,5-6days,10-30,ice,installable,hybrid_only,similar,unknown,5,5,1,0.15,0,5,3.2,0.925714,0,0,0,0,1,0,0,0,0,0,ICE
city,5-6days,10-30,ice,installable,both,much_cheaper,unknown,3,5,1,0.15,-2,5,4.2,2.62571,0,0,0,0,0,0,1,0,0,0,ICE
city,1-2days,lt10,ice,unsure,hybrid_only,much_cheaper,unknown,5,3,1,0,2,6,4.2,1.48286,0,1,0,0,0,0,0,0,0,0,EV
both,everyday,10-30,ice,cannot,both,similar,unknown,4,4,1,0.2,0,5,3.8,1.04571,0,0,0,0,0,0,0,0,0,1,ICE
city,3-4days,31-50,ice,cannot,hybrid_only,much_cheaper,aware_only,4,5,1,0.2,-1,5,3.6,1.50571,0,1,0,0,0,0,0,0,0,0,Hybrid
city,everyday,51-70,ice,installable,none,similar,unknown,5,4,1,0.6,1,4,3.8,0.688571,0,1,0,0,0,0,0,0,0,0,Hybrid
both,1-2days,31-50,ice,installable,none,much_cheaper,unknown,5,5,1,0.1,0,6,4.2,1.48286,0,1,0,0,0,0,0,0,0,0,EV
city,everyday,51-70,ice,installable,hybrid_only,similar,unknown,5,4,1,0.6,1,3,4,1.37143,0,0,0,0,1,0,0,0,0,0,ICE
highway,5-6days,31-50,ice,installable,hybrid_only,similar,unknown,5,5,1,0.3,0,4,3.6,1.14857,0,1,0,0,0,0,0,0,0,0,Hybrid
highway,occasional,10-30,ice,installable,hybrid_only,much_cheaper,unknown,5,4,1,0,1,4,4,2.22857,0,0,1,0,0,0,0,0,0,0,ICE
city,everyday,lt10,ice,cannot,hybrid_only,much_cheaper,unknown,5,5,3,0,0,4,4,1.72857,0,1,1,0,0,0,1,0,0,0,ICE
both,5-6days,31-50,ev,installable,both,similar,unknown,5,5,1,0.3,0,4,3.6,1.64857,0,1,0,0,0,0,0,0,0,0,Hybrid
city,everyday,'90+',ice,installable,none,similar,unknown,5,5,1,0.1,0,4,3.6,0.648571,0,1,0,0,0,0,0,0,0,0,EV
